book	end_reference	end_stream_index	first_finite_verb	first_predication_id	group_index	last_finite_verb	last_predication_id	movement_class_counts	movement_status_counts	record_count	start_reference	start_stream_index	structural_regime_id	total_structural_weight	merged_regimes	merged_regime_id
1corintios	11:3	567	ἐσθίετε	1corintios-10-31-P01	259	θέλω	1corintios-11-3-P01	"{""stable"": 4, ""structural"": 1}"	"{""none"": 4, ""strong"": 1}"	13	10:31	555	SR0259	60	['SR0260', 'SR0261', 'SR0262', 'SR0263', 'SR0264', 'SR0265', 'SR0266', 'SR0267']	SMR0061
1corintios	11:13	580	ἐστιν	1corintios-11-3-P02	268	κρίνατε	1corintios-11-13-P01	"{""stable"": 6, ""structural"": 1, ""turbulence"": 5}"	"{""candidate"": 5, ""none"": 6, ""strong"": 1}"	13	11:3	568	SR0268	22	['SR0269']	SMR0062
1corintios	11:19	595	ἐστὶν	1corintios-11-13-P02	270	γένωνται	1corintios-11-19-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 5}"	"{""candidate"": 5, ""none"": 2, ""strong"": 1}"	15	11:13	581	SR0270	54	['SR0271', 'SR0272', 'SR0273', 'SR0274', 'SR0275', 'SR0276']	SMR0063
1corintios	11:21	599	ἔστιν	1corintios-11-20-P01	277	μεθύει	1corintios-11-21-P03	"{""stable"": 3, ""structural"": 1}"	"{""none"": 3, ""strong"": 1}"	4	11:20	596	SR0277	6		SMR0064
1corintios	11:22	602	ἔχετε	1corintios-11-22-P01	278	καταισχύνετε	1corintios-11-22-P03	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	3	11:22	600	SR0278	6		SMR0065
1corintios	11:23	607	εἴπω	1corintios-11-22-P04	279	παρέδωκα	1corintios-11-23-P02	"{""stable"": 4, ""structural"": 1}"	"{""none"": 4, ""strong"": 1}"	5	11:22	603	SR0279	6		SMR0066
1corintios	11:25	614	παρεδίδετο	1corintios-11-23-P03	280	ἐστὶν	1corintios-11-25-P01	"{""stable"": 3, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 3, ""strong"": 1}"	7	11:23	608	SR0280	20	['SR0281', 'SR0282']	SMR0067
1corintios	11:26	619	ποιεῖτε	1corintios-11-25-P02	283	καταγγέλλετε	1corintios-11-26-P03	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	5	11:25	615	SR0283	10		SMR0068
1corintios	11:30	629	ἔλθῃ	1corintios-11-26-P04	284	κοιμῶνται	1corintios-11-30-P01	"{""stable"": 6, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 6, ""strong"": 1}"	10	11:26	620	SR0284	14	['SR0285']	SMR0069
1corintios	12:1	640	διεκρίνομεν	1corintios-11-31-P01	286	θέλω	1corintios-12-1-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	11	11:31	630	SR0286	38	['SR0287', 'SR0288', 'SR0289', 'SR0290', 'SR0291']	SMR0070
1corintios	12:3	646	οἴδατε	1corintios-12-2-P01	292	δύναται	1corintios-12-3-P03	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	6	12:2	641	SR0292	24	['SR0293', 'SR0294']	SMR0071
1corintios	12:6	649	εἰσίν	1corintios-12-4-P01	295	εἰσίν	1corintios-12-6-P01	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	3	12:4	647	SR0295	4		SMR0072
1corintios	12:16	666	δίδοται	1corintios-12-7-P01	296	εἰμὶ	1corintios-12-16-P03	"{""stable"": 4, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 4}"	17	12:7	650	SR0296	40	['SR0297', 'SR0298', 'SR0299', 'SR0300', 'SR0301']	SMR0073
1corintios	12:23	676	ἔστιν	1corintios-12-16-P04	302	περιτίθεμεν	1corintios-12-23-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 2}"	10	12:16	667	SR0302	22	['SR0303', 'SR0304', 'SR0305']	SMR0074
1corintios	12:25	681	ἔχει	1corintios-12-23-P03	306	μεριμνῶσι	1corintios-12-25-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 2, ""strong"": 1}"	5	12:23	677	SR0306	14	['SR0307']	SMR0075
1corintios	12:28	687	πάσχει	1corintios-12-26-P01	308	ἔθετο	1corintios-12-28-P01	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	6	12:26	682	SR0308	16	['SR0309', 'SR0310']	SMR0076
1corintios	12:31	692	ἔχουσιν	1corintios-12-30-P01	311	δείκνυμι	1corintios-12-31-P02	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	5	12:30	688	SR0311	14	['SR0312', 'SR0313']	SMR0077
1corintios	13:10	723	λαλῶ	1corintios-13-1-P01	314	καταργηθήσεται	1corintios-13-10-P02	"{""stable"": 17, ""structural"": 1, ""turbulence"": 6}"	"{""candidate"": 7, ""none"": 17}"	31	13:1	693	SR0314	40	['SR0315', 'SR0316', 'SR0317', 'SR0318']	SMR0078
1corintios	13:12	730	ἤμην	1corintios-13-11-P01	319	βλέπομεν	1corintios-13-12-P01	"{""stable"": 2, ""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 3, ""none"": 2, ""strong"": 1}"	7	13:11	724	SR0319	16	['SR0320']	SMR0079
1corintios	13:13	734	γινώσκω	1corintios-13-12-P02	321	μένει	1corintios-13-13-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	4	13:12	731	SR0321	12	['SR0322']	SMR0080
1corintios	14:1	737	διώκετε	1corintios-14-1-P01	323	προφητεύητε	1corintios-14-1-P03	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	3	14:1	735	SR0323	8		SMR0081
1corintios	14:5	747	λαλεῖ	1corintios-14-2-P01	324	λάβῃ	1corintios-14-5-P04	"{""stable"": 5, ""structural"": 1}"	"{""none"": 5, ""strong"": 1}"	10	14:2	738	SR0324	26	['SR0325', 'SR0326', 'SR0327']	SMR0082
1corintios	14:6	750	ἔλθω	1corintios-14-6-P01	328	λαλήσω	1corintios-14-6-P03	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	3	14:6	748	SR0328	8		SMR0083
1corintios	14:11	761	δῷ	1corintios-14-7-P01	329	ἔσομαι	1corintios-14-11-P02	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4}"	11	14:7	751	SR0329	56	['SR0330', 'SR0331', 'SR0332', 'SR0333', 'SR0334', 'SR0335']	SMR0084
1corintios	14:14	767	ἐστε	1corintios-14-12-P01	336	προσεύχωμαι	1corintios-14-14-P01	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""strong"": 1}"	6	14:12	762	SR0336	26	['SR0337', 'SR0338']	SMR0085
1corintios	14:15	770	προσεύχεται	1corintios-14-14-P02	339	ἐστιν	1corintios-14-15-P01	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	3	14:14	768	SR0339	6		SMR0086
1corintios	14:17	780	προσεύξομαι	1corintios-14-15-P02	340	οἰκοδομεῖται	1corintios-14-17-P02	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	10	14:15	771	SR0340	36	['SR0341', 'SR0342', 'SR0343', 'SR0344', 'SR0345', 'SR0346']	SMR0087
